QKEY,INTERVIEW_START_W145,INTERVIEW_END_W145,DEVICE_TYPE_W145,LANG_W145,FORM_W145,ECON_SIT_W145,CHILDREN_BETTEROFF2_W145,SATISFIED_DEMOCRACY_W145,FAV_US_W145,FAV_CHINA_W145,FAV_EU_W145,FAV_UN_W145,FAV_NATO_W145,FAV_RUSSIA_W145,FAV_INDIA_W145,FAV_MEXICO_W145,FAV_BRAZIL_W145,FAV_UK_W145,FAV_GERMANY_W145,FAV_FRANCE_W145,PARTYFAV_REP_W145,PARTYFAV_DEM_W145,CONFID_XI_W145,CONFID_PUTIN_W145,CONFID_MACRON_W145,CONFID_ZELENSKYY_W145,CONFID_NETANYAHU_W145,PROB_RICH_POOR_W145,PROB_GEN_UNEQUAL_W145,PROB_RACEDISCRIM_W145,PROB_RELDISCRIM_W145,PROB_MISINFORMATION_W145,FREE_PRESS_W145,FREE_SPEECH_W145,FREE_INTERNET_W145,FREEDOM_PRESS_W145,FREEDOM_SAY_W145,FREEDOM_INTERNET_W145,INEQUALITY_MERIT_W145,INEQUALITY_OPP_W145,INEQUALITY_DISCRIM_W145,INEQUALITY_AUTOMATION_W145,INEQUALITY_EDU_W145,INEQUALITY_RICH_W145,ECONSYS_REFORM_W145,USDEMOCRACY_EXAMPLE_W145,PREZFP_W145,USRESPECT_IMPORT_W145,LRNGFP_a_W145,LRNGFP_b_W145,LRNGFP_c_W145,LRNGFP_d_W145,LRNGFP_e_W145,LRNGFP_f_W145,LRNGFP_g_W145,LRNGFP_h_W145,LRNGFP_i_W145,LRNGFP_j_W145,LRNGFP_k_W145,LRNGFP_l_W145,LRNGFP_m_W145,LRNGFP_n_W145,LRNGFP_o_W145,LRNGFP_p_W145,LRNGFP_q_W145,LRNGFP_r_W145,LRNGFP_s_W145,LRNGFP_t_W145,LRNGFP_u_W145,LRNGFP_v_W145,US_EURO_SEC_W145,US_EURO_ECON_W145,US_EURO_DEM_W145,GROWINFLU1_CHINA_W145,GROWINFLU1_RUSSIA_W145,GROWINFLU1_INDIA_W145,GROWINFLU1_GERMANY_W145,GROWINFLU1_FRANCE_W145,GROWINFLU1_UK_W145,GROWINFLU1_IRAN_W145,GROWINFLU1_BRAZIL_W145,GROWINFLU1_COUNTRY_W145,GROWINFLU2_NATO_W145,GROWINFLU2_EU_W145,GROWINFLU2_UN_W145,CHINA_US_ENEMY_W145,RUSSIA_US_ENEMY_W145,BRDERJOB_W145,BRDERJOB_MEX_W145,CHINA_INFLU_ECON_W145,CHINA_INFLU_ECON2_W145,CHINA_DISPUTES_W145,NATIONALITY_RELIG_W145,NATIONALITY_BORN_W145,NATIONALITY_LANG_W145,NATIONALITY_CUSTOM_W145,BENEFITORG_NATO_W145,BENEFITORG_UN_W145,BENEFITORG_WHO_W145,UNISGZ_AID_W145,UNISGZ_CEASEFIRE_W145,EU_DEF_SPEND_W145,UKR_SPRT_W145,UKR_NATSEC_W145,UA_CONC_b_W145,UA_CONC_d_W145,SSDO_PRIORITIES_W145,SSDO_PUSH_W145,SSDO_IDEAL_W145,SSDO_DOMINATE_W145,CLASS_W145,CLASS2_W145,NATO_REGION_W145,NATO_FOCUS_W145,NATO_KNOW_W145,NEWSSOCIETY_W145,NEWSCORP_W145,NEWSGOVT_W145,NEWSRESTRICT_W145,NEWSPROTECT_W145,BESTAGE_MARRY_W145,BESTAGE_CHILD_W145,BESTAGE_HOUSE_W145,BESTAGE_RETIRE_W145,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W145
201801059332,2024-04-02T16:01:33Z,2024-04-02T16:18:50Z,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,1,2,2,3,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,5,2,2,5,2,2,1,1,3,3,3,5,5,4,4,2,3,3,2,2,2,4,4,,5,5,5,2,2,1,3,2,25,96,30,60,1,3,7,1,2,2,3,2,2,,1,1,1,1,1,1,1,1,2,4,1,1,2,3,2,3,2,2,1,0.9165624974295445
201801059544,2024-04-02T18:57:43Z,2024-04-02T19:14:33Z,1,1,2,4,2,4,3,4,4,4,4,3,4,4,4,4,3,4,2,4,3,3,4,4,2,3,4,4,1,1,1,1,1,4,2,2,1,3,2,2,1,1,1,2,1,1,,,,,,,,,,,,1,2,2,1,1,2,1,3,1,3,3,3,3,3,1,1,1,3,3,3,1,3,2,2,2,2,3,2,4,4,2,2,2,1,1,1,3,4,4,4,4,4,1,1,3,4,4,3,1,3,4,3,1,4,2,4,1,1,1,2,1,96,96,96,96,1,4,8,2,3,2,1,5,2,,1,2,2,1,1,1,1,1,2,1,,1,1,1,6,2,2,2,2,1.088451657759153
201801059624,2024-04-02T21:09:33Z,2024-04-02T21:49:44Z,2,1,1,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,4,4,5,4,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,3,1,1,1,3,1,2,,,,,,,,,,,,2,2,3,1,1,1,3,2,1,1,2,2,1,3,1,3,3,4,5,2,2,1,4,1,1,2,2,2,2,5,5,3,3,2,2,1,1,2,2,4,3,3,5,4,5,4,1,2,3,2,25,29,30,65,1,4,8,2,2,2,2,4,2,,1,4,4,1,2,12,,3,6,3,2,2,3,3,5,3,1,2,2,1.09158615802532
201801059738,2024-04-02T19:00:28Z,2024-04-02T19:09:28Z,2,1,1,2,2,4,2,4,2,3,3,3,3,4,2,2,2,2,2,4,4,3,2,4,4,2,3,2,3,2,4,2,2,2,4,2,1,1,1,3,1,1,2,3,1,2,2,2,2,2,3,2,1,1,3,2,3,,,,,,,,,,,,2,2,3,3,2,3,1,1,1,1,1,3,3,1,1,3,3,4,4,3,2,4,3,2,2,2,2,2,2,3,3,2,1,2,5,5,4,1,3,1,3,1,4,1,2,3,2,2,5,2,96,96,96,96,1,4,9,1,2,2,2,4,2,,1,4,4,1,1,1,1,1,5,1,,1,1,1,5,2,1,2,2,0.9406291695963288
201801059876,2024-04-04T14:06:34Z,2024-04-04T14:20:49Z,2,1,2,4,2,3,3,3,3,2,3,3,3,3,3,2,2,2,4,4,3,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,2,1,3,1,2,2,3,3,3,3,3,2,3,3,1,1,3,3,3,3,1,3,2,3,3,3,2,2,3,3,1,2,4,4,2,1,4,3,3,4,4,4,1,1,3,5,5,1,4,3,4,3,3,4,4,3,1,1,1,5,1,30,30,30,60,1,4,9,1,3,2,1,5,2,,1,2,2,1,3,10,,3,6,2,,2,4,1,9,5,1,2,99,1.090129708373056
201801060084,2024-04-03T19:57:51Z,2024-04-03T20:06:46Z,2,1,2,1,1,2,1,3,1,1,1,4,3,2,3,1,2,2,4,1,3,4,2,2,4,1,1,1,1,1,1,3,2,1,1,1,4,2,1,3,2,2,2,1,1,1,,,,,,,,,,,,1,1,1,1,2,1,1,2,3,2,3,2,1,1,3,3,3,3,1,2,1,2,3,2,1,2,2,3,2,2,2,2,2,4,4,4,4,1,1,1,2,3,1,2,1,3,2,1,4,1,4,2,,4,4,2,2,2,2,4,2,96,96,96,96,1,4,9,2,3,2,1,5,2,,1,3,5,1,1,12,,3,5,2,,2,4,1,9,4,1,1,3,0.08119325929500586
201801060261,2024-04-03T05:26:04Z,2024-04-03T08:49:23Z,2,1,1,3,2,4,3,3,99,99,2,3,99,99,3,3,3,99,4,3,3,3,3,3,5,1,1,1,1,1,4,4,4,1,1,1,2,1,1,1,1,1,1,3,1,2,2,2,1,1,2,1,2,1,1,1,3,,,,,,,,,,,,2,2,3,3,3,3,3,3,3,3,3,2,2,99,99,2,99,99,5,2,2,5,4,4,2,4,2,2,2,3,3,4,4,99,3,2,3,99,99,3,4,,5,5,5,3,2,2,3,2,96,96,96,55,1,4,9,2,3,2,3,2,1,1,1,5,3,1,1,12,,3,6,2,,2,3,1,9,3,2,1,2,1.4423290854330915
201801060511,2024-04-02T17:31:40Z,2024-04-02T17:44:34Z,1,1,1,4,2,3,3,2,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,5,1,4,3,4,1,1,1,1,2,1,1,3,1,3,3,2,1,2,2,1,1,2,3,2,3,3,3,2,1,3,3,2,,,,,,,,,,,,2,1,3,1,3,2,3,3,3,3,3,2,2,2,3,1,1,4,4,2,2,4,4,1,1,1,4,3,2,4,4,4,1,2,4,5,1,3,1,4,5,,4,2,5,3,1,1,5,2,96,35,96,65,1,1,1,2,2,1,3,2,2,,1,1,1,1,6,9,,3,6,1,,1,2,2,1,3,1,2,1,3.2111831738233367
201801060539,2024-04-02T15:34:44Z,2024-04-02T15:43:44Z,2,1,2,3,2,4,3,4,1,2,1,4,3,4,4,2,2,2,4,2,4,4,2,1,4,1,2,1,4,1,2,1,2,1,1,1,4,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,1,2,2,2,2,2,2,1,3,1,1,1,1,1,1,2,3,1,3,3,2,3,2,1,2,2,3,3,2,4,1,2,1,4,2,4,2,1,1,1,4,4,1,2,1,1,1,1,4,1,4,4,,4,4,4,1,2,2,1,1,96,96,96,96,1,1,1,2,1,1,2,3,2,,1,1,1,1,2,9,,3,6,2,,2,4,1,7,4,1,2,2,1.6679052336640614
201801060802,2024-04-02T16:47:51Z,2024-04-02T17:22:05Z,2,1,2,2,1,3,3,4,2,2,2,4,2,2,2,3,2,2,4,2,4,4,2,2,4,1,2,1,2,2,1,1,1,2,2,2,4,3,1,3,2,1,2,1,2,2,,,,,,,,,,,,1,2,2,2,1,1,2,2,3,2,2,2,1,1,1,2,3,3,3,3,3,3,2,3,3,3,2,3,3,5,2,2,5,4,3,2,2,2,2,1,5,5,4,2,1,2,1,1,4,1,4,3,3,4,5,5,1,1,5,2,1,96,96,96,96,1,1,1,2,1,1,3,2,2,,1,4,4,1,6,12,,3,6,2,,2,4,1,4,5,1,2,2,2.6031735741568856
201801060898,2024-04-02T15:30:10Z,2024-04-02T15:57:16Z,2,1,1,4,2,4,2,4,2,3,4,4,3,4,3,2,2,2,1,4,4,4,3,2,3,2,3,3,2,1,1,1,1,3,3,3,2,3,3,1,1,2,2,2,1,1,1,1,2,1,2,1,1,3,1,1,2,,,,,,,,,,,,1,1,2,1,1,3,2,3,3,1,2,2,3,3,2,3,3,4,4,1,2,1,1,3,1,1,3,3,4,3,4,1,1,3,1,1,2,3,3,3,5,,5,4,4,1,1,1,1,2,25,25,30,50,1,1,1,2,3,1,3,2,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,6,2,2,2,2,1.6209654643338407
201801061021,2024-04-03T12:16:02Z,2024-04-03T12:25:29Z,2,1,1,4,2,4,3,3,2,4,4,2,2,2,2,2,2,2,2,3,4,2,2,3,2,1,4,3,3,2,1,1,1,4,2,2,3,2,4,3,3,1,1,2,1,3,2,3,2,3,3,1,2,2,3,1,3,,,,,,,,,,,,2,1,2,1,1,2,2,2,2,3,3,2,2,2,2,2,2,4,4,2,2,3,2,1,1,1,3,3,3,4,4,1,1,2,4,4,2,3,2,4,4,,4,5,5,1,1,1,1,1,96,96,96,60,2,1,1,3,3,2,1,5,2,,1,1,1,1,1,4,2,4,5,3,1,1,2,1,4,3,2,2,2,1.1436127570149266
201801061134,2024-04-02T15:33:32Z,2024-04-02T15:47:33Z,1,1,2,2,2,4,2,3,2,2,2,4,3,2,3,2,2,2,4,2,3,4,2,1,4,1,2,2,2,2,1,1,1,1,2,1,3,1,1,2,2,1,2,2,1,1,,,,,,,,,,,,1,1,99,1,2,1,2,1,3,1,2,1,1,1,1,1,1,3,3,3,3,3,2,3,3,3,2,3,3,5,3,1,2,4,4,2,2,1,2,2,3,3,1,2,1,1,2,1,4,1,4,2,,4,4,5,1,1,2,1,1,96,96,96,96,1,1,1,2,3,1,1,6,2,,4,1,1,4,1,2,2,2,6,2,,2,3,1,9,3,1,1,3,1.1917817816949838
201801061142,2024-04-02T16:03:32Z,2024-04-02T16:15:52Z,2,1,2,4,2,4,2,4,3,2,2,2,3,3,3,3,2,4,2,4,4,2,5,4,5,3,4,3,4,1,1,1,1,3,2,2,1,2,3,3,1,2,3,2,1,1,,,,,,,,,,,,2,3,3,1,1,3,3,1,3,3,2,2,1,3,1,1,3,3,3,3,3,3,2,2,2,2,3,2,4,4,1,2,2,3,2,1,1,3,3,4,3,3,1,1,2,4,5,2,3,2,4,3,3,4,4,5,1,1,1,1,1,30,33,24,96,1,1,1,2,1,1,1,5,2,,1,1,1,1,6,2,2,2,5,1,,1,1,1,8,2,1,2,2,1.702212833128042
201801061168,2024-04-02T18:20:59Z,2024-04-04T12:34:29Z,2,1,1,3,2,4,4,2,2,1,4,4,3,1,2,2,2,2,4,4,2,3,3,2,4,1,1,1,2,1,1,1,1,3,2,3,4,1,1,2,1,1,1,3,2,1,2,1,1,2,3,3,3,1,1,3,2,,,,,,,,,,,,2,1,2,1,2,1,3,2,2,1,3,2,1,2,2,1,2,4,2,2,1,3,4,4,4,4,3,1,1,3,3,1,1,3,3,5,1,4,1,4,2,,4,4,4,1,1,1,2,1,30,30,25,55,1,3,7,1,1,1,1,6,2,,1,1,1,1,2,9,,3,6,2,,2,4,3,6,5,1,1,2,2.5527390833066077
201801061302,2024-04-03T09:37:40Z,2024-04-03T09:56:59Z,2,1,1,3,2,4,2,4,3,4,2,4,3,3,3,3,2,4,2,4,4,4,4,2,2,1,3,1,1,1,2,2,2,2,2,2,4,3,2,3,2,2,2,2,99,2,2,3,2,1,2,2,1,3,3,1,1,,,,,,,,,,,,1,1,1,1,3,1,3,2,2,1,1,2,1,3,3,3,3,3,3,2,2,1,2,3,2,1,2,3,2,3,4,1,1,1,1,1,2,2,2,4,2,,4,4,4,2,3,2,4,2,28,30,30,80,1,1,2,2,3,1,1,6,2,,4,3,5,4,1,1,1,1,1,1,,1,1,1,6,2,1,1,2,0.1962679832316945
201801061714,2024-04-05T06:03:48Z,2024-04-05T06:21:31Z,2,1,2,4,2,3,3,3,2,3,3,3,2,2,2,3,3,4,4,3,3,3,5,3,4,1,2,2,2,1,1,1,1,3,3,2,3,1,1,2,3,1,1,3,1,3,,,,,,,,,,,,1,1,3,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,5,2,1,5,4,4,4,4,2,2,2,4,4,4,4,3,3,3,1,4,2,4,3,3,4,5,5,2,1,1,3,2,26,35,35,70,1,1,2,2,1,2,1,5,2,,1,3,5,1,6,6,,4,4,3,2,2,3,2,5,3,1,2,1,0.6128924506356963
201801061838,2024-04-05T09:21:22Z,2024-04-05T09:44:27Z,1,1,1,4,2,3,1,4,2,3,3,3,4,4,4,1,2,2,1,4,3,3,2,4,2,3,3,4,4,1,1,1,1,1,3,1,1,4,3,2,1,2,1,2,1,1,2,3,2,1,2,1,2,3,2,1,3,,,,,,,,,,,,1,1,2,1,1,3,3,3,3,1,3,1,2,2,2,3,3,4,4,1,2,2,2,1,1,1,2,2,3,3,4,1,1,3,3,4,3,2,3,3,2,,5,4,5,2,2,2,5,2,21,96,96,65,1,1,2,2,4,1,2,3,2,,1,1,1,1,5,4,2,4,3,1,,1,1,1,5,2,3,2,2,0.9843341925718131
201801062154,2024-04-02T15:50:40Z,2024-04-02T16:11:50Z,2,1,1,4,2,4,4,2,3,2,2,4,2,2,2,4,3,2,4,3,3,4,3,2,4,1,2,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,3,3,2,1,2,2,2,,,,,,,,,,,,2,2,1,3,2,3,3,1,2,3,3,2,3,3,3,2,3,4,5,1,2,5,4,3,2,2,2,2,2,3,3,3,3,2,3,3,2,3,2,3,3,2,4,1,5,2,1,1,2,2,35,32,25,55,1,1,2,1,1,2,1,5,2,,1,1,1,1,2,9,,3,5,4,2,2,4,1,8,5,1,2,2,1.7905268303749895
201801062179,2024-04-02T15:30:14Z,2024-04-02T16:17:16Z,2,1,1,3,2,3,3,99,2,3,2,99,99,2,99,1,2,99,3,3,5,99,5,5,5,1,3,2,3,2,1,1,2,2,2,2,3,2,2,2,1,2,1,3,1,2,1,1,1,2,3,2,2,1,2,2,3,,,,,,,,,,,,2,2,4,1,1,3,3,3,3,99,3,2,2,3,3,99,99,99,5,1,99,4,4,4,2,2,1,1,1,3,3,3,3,2,2,3,1,4,2,3,4,,4,1,1,3,2,1,5,2,20,23,25,60,1,4,8,1,1,2,2,3,2,,1,1,1,1,1,10,,3,6,3,99,9,9,3,3,4,1,2,1,3.268145186521507
201801062297,2024-04-02T19:19:55Z,2024-04-02T19:29:46Z,2,1,2,3,2,3,2,4,3,4,3,4,3,4,4,2,2,3,2,4,4,4,3,3,4,3,4,3,3,2,2,2,2,2,2,2,3,3,4,3,2,3,2,1,1,1,,,,,,,,,,,,3,2,2,1,1,2,1,3,3,3,1,2,2,2,1,1,1,2,2,1,1,1,3,2,1,2,3,3,4,4,2,2,2,3,3,2,2,4,4,3,3,4,1,1,3,4,4,3,3,3,3,4,,5,4,5,2,2,2,3,1,96,96,96,63,2,1,2,3,3,1,3,2,2,,1,1,1,1,3,1,2,1,5,1,,1,1,1,7,2,2,2,3,1.195661134003525
201801062310,2024-04-02T19:07:33Z,2024-04-02T19:19:50Z,2,1,2,3,1,4,2,2,2,2,2,4,3,3,2,2,2,2,1,3,3,3,3,4,5,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,,,,,,,,,,,,3,1,2,2,1,3,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,1,1,4,2,1,2,1,2,2,3,3,2,1,2,2,2,2,3,1,2,4,,4,4,3,4,2,2,4,1,28,25,30,65,1,1,2,2,1,2,2,4,2,,1,1,1,1,1,2,2,2,6,1,,1,2,1,3,3,1,2,1,1.6144345699327336
201801062327,2024-04-06T17:59:00Z,2024-04-06T18:11:52Z,2,1,1,2,1,3,2,3,1,2,2,3,2,2,2,2,1,2,4,3,4,4,2,2,4,1,2,1,2,2,1,2,2,2,2,2,3,1,2,3,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,2,1,1,1,2,1,3,3,2,3,3,2,1,1,3,2,2,3,5,2,1,3,4,3,2,2,2,3,3,3,4,4,2,1,3,3,1,3,2,4,4,,4,4,4,2,1,2,4,2,96,96,96,70,1,1,2,2,1,1,2,3,2,,1,1,1,1,6,1,1,1,1,3,2,2,3,1,2,3,2,2,1,3.246095466914748
201801062334,2024-04-05T14:52:44Z,2024-04-05T15:02:54Z,2,1,1,4,2,3,1,99,99,99,99,4,99,99,99,99,99,99,2,3,3,4,5,5,5,1,3,3,3,1,2,2,2,2,2,2,1,1,3,1,3,1,2,99,99,2,2,1,2,1,99,2,1,2,1,1,1,,,,,,,,,,,,2,2,2,2,2,3,3,3,3,3,3,2,99,99,99,2,3,3,5,2,2,1,2,1,1,2,99,2,99,5,5,4,4,2,1,1,1,99,1,4,99,,5,5,5,2,2,2,4,2,96,96,96,65,1,1,2,99,1,2,3,2,2,,99,1,1,99,1,1,99,1,6,1,,1,9,3,99,99,2,2,99,3.268145186521507
201801062543,2024-04-02T15:33:47Z,2024-04-02T15:48:16Z,2,1,1,3,2,2,4,4,1,2,2,4,3,3,3,3,2,2,4,2,4,4,2,2,4,1,1,1,1,1,1,1,1,2,2,2,4,1,2,4,2,1,1,3,1,2,2,1,2,2,3,2,3,1,1,2,3,,,,,,,,,,,,2,1,1,1,1,1,2,2,2,2,1,3,2,2,2,2,3,4,5,2,2,3,4,4,3,3,2,1,2,4,4,3,2,1,1,1,1,3,2,4,4,,4,1,5,1,1,2,2,1,96,32,97,55,1,1,2,1,1,3,1,6,2,,1,1,1,1,6,9,,3,6,2,,2,4,1,2,5,2,2,2,1.8278416181189767
201801062729,2024-04-02T19:10:22Z,2024-04-02T19:22:22Z,2,1,2,4,2,3,2,3,2,2,2,3,3,3,2,2,2,2,3,3,4,99,3,3,3,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,1,2,2,2,1,2,,,,,,,,,,,,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,3,3,3,1,3,3,3,3,3,3,3,3,4,2,2,5,2,2,1,2,2,2,2,5,3,1,4,2,3,2,2,3,2,3,4,,4,4,5,3,2,5,4,2,96,96,96,70,1,3,5,2,3,2,2,4,2,,1,1,1,1,3,2,2,2,4,2,,2,3,1,6,3,2,1,2,1.550679412236858
201801062870,2024-04-03T11:41:13Z,2024-04-03T11:59:51Z,1,1,1,3,2,4,3,4,2,3,4,4,3,3,2,4,3,3,4,4,3,4,5,4,3,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,3,2,3,2,2,3,2,2,2,3,2,2,,,,,,,,,,,,1,2,2,1,1,3,3,3,3,1,3,3,3,3,3,2,2,3,4,1,2,5,2,1,1,2,1,1,1,4,3,4,4,1,3,3,3,3,3,4,3,2,5,5,5,1,1,1,3,2,28,30,35,45,1,3,5,3,2,2,2,4,2,,1,2,2,1,1,1,1,1,2,4,1,1,1,1,8,2,1,2,2,1.2351395245868404
201801062921,2024-04-02T20:28:54Z,2024-04-02T20:47:01Z,1,1,2,3,2,4,2,3,2,3,2,4,2,3,3,1,1,2,3,3,4,4,2,1,4,2,3,3,3,1,1,1,1,1,1,1,2,2,3,3,3,2,3,2,2,1,,,,,,,,,,,,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,3,3,3,3,1,2,3,3,3,2,3,3,3,2,2,1,4,3,1,2,2,2,3,3,4,1,3,1,1,1,2,3,2,4,2,,4,4,4,1,1,1,4,2,96,27,97,65,1,3,5,2,3,2,1,6,2,,1,3,5,1,1,1,2,1,3,3,1,1,2,1,9,3,1,1,2,0.07177884387996587
201801063213,2024-04-04T12:08:06Z,2024-04-04T12:33:57Z,2,1,2,3,2,3,3,3,2,2,2,4,2,2,2,3,2,2,4,2,4,4,2,2,3,1,2,1,2,1,1,1,1,1,1,1,4,1,1,3,2,1,1,2,1,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,3,1,3,3,2,3,3,2,3,3,3,2,3,3,5,3,2,2,4,4,4,2,2,2,2,2,3,3,2,1,2,2,1,4,1,4,3,2,4,1,5,2,1,1,3,2,96,27,28,65,1,3,5,2,1,2,1,6,2,,1,1,1,1,6,10,,3,6,2,,2,4,1,7,5,1,1,3,1.3688300022627846
201801063504,2024-04-02T18:08:46Z,2024-04-02T18:22:15Z,2,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,3,1,3,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,2,2,2,1,1,3,3,3,3,1,3,2,3,3,3,2,3,3,5,2,2,5,4,1,3,2,3,3,3,5,5,4,1,2,3,3,2,3,2,3,4,,5,5,5,3,1,1,2,2,96,96,96,96,1,3,5,2,1,2,2,3,2,,1,1,1,1,2,12,,3,6,4,1,1,2,3,6,3,2,1,2,2.2432501536097744
201801064096,2024-04-02T21:28:51Z,2024-04-02T21:43:55Z,2,1,2,3,2,3,2,3,2,3,3,3,3,4,3,2,3,2,2,4,5,2,5,5,2,2,3,3,3,2,1,1,2,1,1,1,1,3,3,4,3,1,2,2,1,2,,,,,,,,,,,,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,3,3,3,2,3,4,4,2,2,4,1,2,1,1,2,2,2,2,4,1,3,1,5,5,2,2,2,3,3,2,4,1,1,3,2,2,3,2,28,30,96,96,2,3,5,3,3,2,1,5,2,,1,1,1,1,1,1,1,1,4,1,,1,2,1,9,3,1,2,3,1.227501563176286
201801064526,2024-04-02T17:25:13Z,2024-04-02T17:43:34Z,2,1,2,4,2,4,2,4,3,99,2,4,3,3,99,3,2,2,2,3,4,4,3,1,5,1,3,3,3,1,2,2,2,1,1,1,1,1,3,4,1,1,2,2,1,2,,,,,,,,,,,,2,1,2,1,1,2,2,2,3,2,1,1,2,2,1,1,1,1,3,2,3,3,2,3,3,3,3,3,4,4,1,2,4,4,1,1,1,3,3,3,3,3,1,2,1,2,1,1,4,1,4,5,,4,2,3,3,1,1,3,2,23,25,30,55,1,2,3,2,1,2,3,2,2,,1,4,4,1,1,11,,4,6,3,1,1,2,1,4,3,2,1,2,3.060734054182121
201801064718,2024-04-02T16:20:47Z,2024-04-02T17:57:51Z,2,1,1,1,1,2,2,4,3,3,2,4,3,3,2,2,2,2,3,2,4,4,2,2,3,1,1,1,1,2,3,4,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,1,2,1,1,1,1,3,1,3,1,3,1,3,3,3,3,3,3,3,2,2,3,2,2,2,2,1,1,1,3,3,1,1,2,4,4,1,4,1,4,3,1,4,4,4,1,2,2,3,2,96,96,25,55,2,3,6,3,3,1,3,2,2,,1,2,2,1,1,1,1,1,1,2,,2,3,1,1,3,2,1,1,0.889348882179044
201801064877,2024-04-04T18:19:39Z,2024-04-04T18:32:37Z,2,1,2,4,2,4,1,4,3,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,2,2,3,3,2,1,1,1,1,3,3,3,4,3,3,2,2,2,3,2,1,1,,,,,,,,,,,,2,3,1,1,1,3,1,3,1,3,3,2,2,3,1,3,3,3,3,3,1,3,2,1,2,1,3,3,4,4,1,2,1,1,1,1,1,3,3,3,4,4,1,1,2,4,4,3,2,4,3,4,,5,4,4,1,1,1,1,1,22,23,22,96,2,3,7,2,3,2,1,6,2,,1,1,1,1,3,1,1,1,1,1,,1,1,1,2,1,2,1,2,1.6231430832282077
201801065093,2024-04-02T18:50:23Z,2024-04-02T19:15:27Z,1,1,1,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,2,4,4,4,1,1,1,1,1,2,1,4,4,4,2,1,2,2,2,1,1,1,2,2,1,2,1,1,3,2,1,1,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,3,4,4,1,2,1,1,1,1,1,3,3,4,4,4,3,1,3,5,5,4,1,2,2,3,2,4,4,4,1,1,1,5,2,22,24,22,62,1,3,6,3,3,1,1,5,2,,1,4,4,1,1,1,1,1,2,3,1,1,1,1,9,2,1,1,2,1.4168904083680904
201801065525,2024-04-07T14:09:44Z,2024-04-07T14:29:13Z,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,99,3,3,3,2,3,3,3,99,99,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,99,99,2,5,3,2,5,2,2,2,2,3,3,3,5,5,3,4,3,3,3,3,3,3,3,3,2,5,5,5,3,5,5,4,2,97,99,97,99,1,2,3,1,3,2,3,2,2,,99,2,2,3,6,12,,3,5,99,99,9,9,3,99,3,5,2,99,1.5499881036604384
