QKEY,INTERVIEW_START_W139,INTERVIEW_END_W139,DEVICE_TYPE_W139,LANG_W139,FORM_W139,XPARTYSUMFINAL_W139,XREG_W139,SATIS_W139,POL1JB_W139,POL1JBSTR_W139,INSTFAV_a_W139,INSTFAV_b_W139,INSTFAV_c_W139,INSTFAV_FED_W139,INSTFAV_STAT_W139,INSTFAV_LOC_W139,JBCONF_ECON_W139,JBCONF_CRIS_W139,JBCONF_IMMI_W139,JBCONF_CONG_W139,JBCONF_CLSR_W139,ISGZ_BDN_W139,REPFIELD_W139,REPNOMOE_CODED_W139,PRICANDSAT_R_DT_W139,PRICANDSAT_R_RDS_W139,PRICANDSAT_R_CC_W139,PRICANDSAT_R_VR_W139,PRICANDSAT_R_NH_W139,REPDEALFGHT_W139,PRMRYSYT_W139,REPPRI_FCS_W139,REPPRIMINT_W139,REPPRIMCOMP_W139,UKRFOL_W139,JB_RUSUKR_APP_W139,UKR_SPRT_W139,RU_UKN_THRT2_W139,PARTYTRAITH2H_FED_W139,PARTYTRAITH2H_WORK_W139,PARTYTRAITH2H_PLM_W139,PARTYTRAITH2H_SEL_W139,PARTYTRAITH2H_HON_W139,PARTYTRAITH2H_UNI_W139,PARTYTRAITH2H_LEAD_W139,PARTYTRAITH2H_MID_W139,ISGZ_FOL_W139,ISGZ_RESPNSBL_ISRGOV_W139,ISGZ_RESPNSBL_HMS_W139,ISGZ_RESPNSBL_ISRPPL_W139,ISGZ_RESPNSBL_PLS_W139,ISGZ_RESPNS_W139,BIDEN_FAVORISRPAL_W139,ISGZ_CONC_BIG_W139,ISGZ_CONC_TERR_W139,ISGZ_CONC_RSLV_W139,ISGZ_CONC_VLC_JW_W139,ISGZ_CONC_VLC_MSLM_W139,COEX_W139,COLGJOB_W139,COLGIMP_W139,EDUCJOB_W139,DEGRCOST_W139,NDEGRJOB_W139,DTREPPTY_W139,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W139
201801072490,2023-11-28T16:10:24Z,2023-11-28T16:12:50Z,2,1,1,2,2,2,2,2,4,3,4,,,,3,3,3,3,3,1,4,,,,,,,,,2,2,1,2,2,2,1,3,3,3,3,,,,,4,1,1,2,2,,1,3,2,2,1,1,2,4,2,4,3,3,,1,1,1,1,2,1,1,5,2,,1,1,1,1,2,9,,3,6,3,2,2,4,3,2,5,2,2,1,1.1170648253480226
201801072594,2023-12-01T21:01:01Z,2023-12-01T21:07:49Z,2,1,1,1,1,2,2,2,3,4,3,,,,2,2,3,3,3,2,4,97,4,4,2,3,3,1,3,2,2,2,3,2,2,2,3,3,3,3,,,,,3,2,1,2,1,,3,2,3,3,2,3,2,1,1,2,3,4,4,1,1,1,2,3,1,1,6,2,,4,3,5,4,1,1,2,1,5,3,1,1,2,1,9,3,1,1,3,0.23384182372932422
201801072663,2023-11-28T15:36:50Z,2023-11-28T15:49:24Z,2,1,2,1,1,2,2,1,,,,3,2,2,4,3,3,2,3,2,3,4,4,3,3,4,2,1,2,2,2,1,3,3,3,1,,,,,3,3,3,3,3,1,1,2,1,1,,2,2,2,2,3,1,3,2,2,1,3,3,1,1,1,2,2,1,1,5,2,,1,1,1,1,1,2,2,2,5,1,,1,2,1,9,3,1,2,2,1.0149463934815948
201801072665,2023-11-30T01:41:01Z,2023-11-30T01:47:51Z,2,1,2,2,1,2,2,1,,,,3,2,2,4,4,4,4,3,3,4,,,,,,,,,2,2,2,2,3,1,2,,,,,3,3,3,3,3,1,1,1,1,1,,2,2,2,3,3,1,3,3,3,2,4,,1,1,1,1,4,1,1,6,2,,2,3,5,4,1,11,,4,6,3,2,2,4,1,1,4,1,2,1,0.15857041115672385
201801072729,2023-11-28T15:23:13Z,2023-11-28T15:28:37Z,2,1,1,1,1,2,2,1,2,3,3,,,,3,2,4,3,4,2,3,95,4,4,3,3,2,1,4,1,2,2,4,5,4,4,3,2,3,3,,,,,4,1,1,5,5,,4,3,2,4,4,2,2,4,2,2,3,1,5,1,1,1,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,3,3,1,1,2,1,9,3,1,1,2,0.8239706551534417
201801072737,2023-11-28T15:58:05Z,2023-11-28T16:02:04Z,2,1,1,2,1,2,1,2,3,2,2,,,,1,1,1,1,1,2,4,,,,,,,,,2,1,2,4,2,3,2,2,2,2,2,,,,,4,3,1,3,3,,3,3,3,3,3,3,2,2,2,2,2,4,,1,1,1,2,2,2,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,1,2,3,0.7792118859193844
201801072773,2023-12-01T20:24:55Z,2023-12-01T21:06:18Z,2,1,1,9,1,2,1,2,3,3,3,,,,2,1,1,1,1,1,3,95,4,4,5,5,5,1,2,2,2,2,3,5,2,2,3,3,3,3,,,,,3,1,1,1,1,,3,1,2,1,1,1,1,5,3,6,1,3,5,1,1,1,3,2,2,3,2,2,,4,1,1,4,1,2,2,2,1,3,99,9,9,1,99,3,2,2,99,3.5076664463584706
201801073245,2023-11-29T16:45:36Z,2023-11-29T16:49:09Z,1,1,1,2,2,1,1,2,4,3,3,,,,1,2,3,2,3,4,4,,,,,,,,,2,2,2,3,2,2,1,2,2,2,2,,,,,3,1,1,1,3,,1,3,3,2,3,3,1,2,1,1,1,5,,1,3,6,1,1,3,1,6,2,,1,1,1,1,1,12,,3,5,3,2,2,4,2,9,5,2,2,3,2.31385034113069
201801073253,2023-12-02T18:30:12Z,2023-12-02T18:38:49Z,2,1,1,2,2,2,2,2,4,3,3,,,,2,2,4,2,3,4,4,,,,,,,,,2,2,2,1,2,4,1,2,2,3,2,,,,,1,1,1,2,3,,1,2,5,1,1,1,1,2,1,5,3,4,,1,1,1,1,2,2,1,6,2,,4,3,5,4,1,11,,4,4,4,2,2,4,3,9,5,1,1,2,0.33902944407091856
201801073256,2023-11-28T15:37:13Z,2023-11-28T16:07:54Z,1,1,2,1,2,2,2,1,,,,3,2,2,4,3,4,2,3,5,4,7,,,,,,1,3,1,1,2,4,3,1,2,,,,,3,3,3,3,3,1,1,2,2,3,,2,2,3,4,4,1,1,2,1,1,3,3,1,1,1,2,2,2,1,6,2,,3,3,5,4,1,10,,3,6,3,1,1,1,2,7,2,1,1,2,0.2701123308375352
201801073423,2023-11-28T17:45:01Z,2023-11-28T17:48:42Z,1,1,2,2,1,2,1,1,,,,3,2,2,2,2,2,2,2,2,4,,,,,,,,,2,2,2,3,2,3,2,,,,,2,2,2,2,3,1,1,3,3,1,,3,3,1,3,3,1,3,1,1,1,3,,1,1,1,2,2,2,1,6,2,,1,1,1,1,1,1,2,1,4,2,,2,4,1,9,4,2,1,3,1.0981654828164822
201801073436,2023-11-28T17:28:07Z,2023-11-28T17:33:28Z,1,1,1,2,1,2,99,,4,2,4,,,,2,2,2,3,2,5,4,,,,,,,,,2,2,2,4,5,4,4,2,2,2,2,,,,,4,1,2,1,2,,1,3,3,3,3,3,1,1,1,1,2,3,,1,1,1,2,3,2,1,6,2,,4,1,1,4,1,12,,3,6,3,2,2,3,1,9,3,2,2,2,1.0853147777682661
201801073543,2023-11-28T22:18:32Z,2023-11-28T22:21:06Z,2,1,2,2,1,1,1,2,,,,3,2,2,2,2,2,2,3,5,4,,,,,,,,,2,2,2,5,5,4,4,,,,,3,3,3,2,5,5,5,5,5,4,,2,2,3,2,2,1,5,2,2,2,2,,1,1,1,2,1,2,1,6,2,,1,1,1,1,6,2,2,2,5,2,,2,4,1,5,4,2,1,2,1.3863738649772956
201801073635,2023-11-30T13:34:08Z,2023-11-30T13:38:30Z,1,1,1,2,1,2,1,2,4,2,3,,,,2,2,3,3,3,3,4,,,,,,,,,2,2,2,3,2,3,2,2,2,2,2,,,,,3,1,1,1,1,,3,2,2,2,2,2,2,3,3,2,3,2,,1,1,1,2,4,2,3,2,2,,1,1,1,1,5,2,2,2,5,3,2,2,3,1,3,3,2,2,2,1.007457954289026
201801073719,2023-11-28T15:40:45Z,2023-11-28T15:45:53Z,2,1,2,1,1,2,2,1,,,,3,3,2,4,3,4,2,3,3,3,8,1,3,3,3,4,2,3,1,2,2,4,3,1,2,,,,,3,3,2,3,4,1,1,1,2,1,,3,3,4,4,4,2,4,3,4,2,4,1,1,1,1,1,1,1,1,5,2,,1,1,1,1,6,2,2,2,5,3,1,1,1,1,1,1,2,1,1,1.661573610428814
201801074145,2023-11-29T20:40:49Z,2023-11-29T21:09:51Z,2,1,1,2,1,1,1,1,4,2,3,,,,1,1,2,2,2,1,4,,,,,,,,,2,2,2,2,2,3,1,2,2,2,2,,,,,2,3,1,3,3,,1,4,3,2,3,2,1,3,2,1,1,3,,1,1,1,2,4,2,2,4,2,,1,1,1,1,5,2,2,2,2,2,,2,3,1,8,3,2,1,3,0.893171848248914
201801074171,2023-11-28T15:23:58Z,2023-11-28T15:31:05Z,2,1,2,2,1,1,1,1,,,,2,2,2,1,1,3,2,3,2,4,,,,,,,,,2,2,1,2,1,2,1,,,,,2,2,2,2,2,1,1,2,3,1,,1,2,1,2,2,2,3,3,1,1,3,,1,1,1,2,3,1,1,5,2,,4,1,1,4,3,2,2,2,2,2,,2,4,1,9,4,1,1,2,1.0943606578275547
201801074332,2023-11-28T15:35:41Z,2023-11-28T15:40:05Z,2,1,2,2,1,2,2,2,,,,2,2,2,3,2,2,2,3,4,4,,,,,,,,,2,2,2,5,5,2,2,,,,,2,2,2,2,4,1,1,2,3,1,,3,3,1,2,2,2,1,1,2,1,2,,1,1,1,2,2,2,3,2,2,,1,1,1,1,6,2,2,2,6,2,,2,3,1,1,3,2,2,1,0.9585627392481141
201801074456,2023-11-29T05:04:53Z,2023-11-29T05:17:53Z,3,1,1,1,1,1,2,2,3,3,3,,,,3,2,4,4,4,2,3,4,4,3,3,4,1,1,3,1,1,2,2,3,2,1,3,3,1,3,,,,,3,2,1,2,3,,2,3,4,4,3,3,2,2,3,2,1,4,4,1,1,1,2,3,1,1,6,2,,1,1,1,1,1,10,,3,6,1,,1,2,1,9,3,2,2,3,1.0152262478197231
201801074536,2023-12-02T00:28:15Z,2023-12-02T00:31:19Z,1,1,2,2,1,1,1,2,,,,2,2,2,2,2,2,2,2,3,3,,,,,,,,,2,2,1,4,2,3,2,,,,,2,2,2,2,3,1,1,2,2,1,,2,3,3,2,2,1,3,1,3,2,3,,1,1,2,1,1,2,1,5,2,,1,1,1,1,6,1,2,1,5,2,,2,4,1,2,4,1,1,1,1.1912615923674663
201801074671,2023-11-29T13:12:56Z,2023-11-29T13:19:00Z,1,1,1,1,1,2,2,1,2,3,3,,,,4,4,4,4,4,4,2,2,3,2,1,2,2,1,3,2,2,1,1,3,3,2,3,3,3,3,,,,,1,2,1,3,2,,2,1,2,1,1,1,1,2,2,2,2,4,4,1,1,1,2,4,1,2,4,2,,1,1,1,1,1,1,1,1,4,1,,1,1,1,9,2,1,2,3,0.9117287960759939
201801074678,2023-11-28T15:55:53Z,2023-11-28T15:59:04Z,2,1,2,1,1,2,2,1,,,,3,2,2,3,3,3,3,3,5,2,8,1,2,3,2,2,2,2,1,1,1,5,5,4,4,,,,,2,1,1,1,5,5,5,5,5,4,,3,3,3,3,3,1,4,3,3,3,3,2,1,1,1,3,2,2,3,2,2,,1,1,1,1,1,9,,3,6,1,,1,1,1,8,1,1,2,2,0.9396406352317517
201801074694,2023-11-30T07:21:13Z,2023-11-30T07:26:10Z,2,1,2,2,1,2,1,1,,,,4,2,2,1,1,2,2,2,1,3,,,,,,,,,2,2,2,1,1,3,1,,,,,2,3,2,2,1,1,1,3,2,3,,1,1,1,1,1,2,2,3,2,2,3,,1,1,1,2,4,1,3,2,2,,1,1,1,1,1,2,99,2,5,2,,2,3,1,9,3,3,2,2,1.181289521147298
201801074774,2023-11-28T16:04:56Z,2023-11-28T16:14:23Z,1,1,2,1,1,2,2,1,,,,4,3,3,4,4,4,4,4,4,3,8,1,2,4,2,3,2,2,2,2,2,4,4,1,3,,,,,3,1,1,1,3,3,1,3,2,3,,4,2,4,2,5,2,4,2,3,3,3,1,1,1,1,2,3,1,3,2,2,,1,1,1,1,6,2,2,2,6,1,,1,1,1,9,1,2,2,3,1.0437358228783071
201801074961,2023-11-30T12:45:39Z,2023-11-30T12:55:01Z,1,1,2,2,1,1,1,1,,,,3,3,2,1,1,1,2,2,3,4,,,,,,,,,2,2,2,2,2,2,1,,,,,3,2,2,2,2,1,1,2,5,1,,3,4,2,3,3,1,3,3,1,2,3,,2,1,1,2,2,2,1,6,2,,1,1,1,1,1,12,,3,5,2,,2,4,1,9,5,1,2,3,1.1184987600755574
201801075331,2023-11-28T17:38:44Z,2023-11-28T18:01:35Z,1,1,1,1,1,2,2,1,3,3,3,,,,3,3,4,3,4,2,3,8,2,2,4,2,3,1,2,2,1,1,3,3,2,2,3,3,1,1,,,,,3,2,1,2,5,,1,2,3,3,2,3,2,2,3,6,1,3,2,1,1,1,3,4,2,2,3,2,,1,1,1,1,1,1,1,1,6,1,,1,1,1,9,2,2,2,3,1.0914879958338148
201801075338,2023-11-28T17:36:00Z,2023-11-28T17:47:38Z,2,1,2,2,2,1,1,1,,,,1,1,1,1,1,1,1,1,1,3,,,,,,,,,2,2,2,4,1,3,2,,,,,2,2,2,2,4,1,1,1,1,3,,3,3,3,3,3,1,4,2,3,2,2,,1,1,1,3,3,2,3,2,2,,1,1,1,1,1,12,,3,5,3,2,2,3,3,99,3,2,1,99,1.0434644146318108
201801075345,2023-11-28T16:31:14Z,2023-11-28T16:43:08Z,2,1,2,1,1,2,2,1,,,,3,2,2,4,4,4,3,4,3,2,8,1,1,4,1,3,2,2,1,1,2,3,4,4,2,,,,,1,1,3,3,3,2,1,2,2,3,,4,3,3,3,3,1,4,3,3,1,1,1,1,1,1,2,4,2,3,2,2,,1,1,1,1,1,2,2,2,6,3,1,1,1,1,5,2,2,2,2,0.9690146959903071
201801075448,2023-11-28T15:25:54Z,2023-11-28T15:33:44Z,2,1,2,2,1,2,1,2,,,,3,2,2,2,2,2,3,3,5,4,,,,,,,,,2,2,1,3,2,2,1,,,,,2,2,2,2,4,5,5,5,5,4,,3,3,3,2,2,1,4,2,4,3,2,,1,1,1,3,2,1,2,3,2,,1,1,1,1,1,9,,3,6,2,,2,4,1,9,4,1,2,3,1.1155264710217352
201801075531,2023-11-29T17:59:43Z,2023-11-29T18:08:22Z,2,1,2,1,1,1,2,1,,,,3,2,2,3,3,3,3,3,2,3,99,2,5,3,5,5,1,2,99,1,1,3,2,4,2,,,,,3,3,3,1,3,2,1,5,5,4,,3,4,3,3,3,2,3,2,2,1,3,2,1,1,1,3,3,2,1,5,2,,1,1,1,1,1,1,2,1,6,3,1,1,2,1,99,3,2,2,99,1.2681536684808135
201801075650,2023-11-28T20:37:09Z,2023-11-28T20:40:23Z,2,1,1,1,1,2,2,1,3,4,4,,,,4,4,4,3,4,3,2,8,1,2,4,3,2,2,1,2,2,2,3,3,2,2,3,3,1,1,,,,,2,3,1,3,2,,2,3,2,2,3,4,2,3,3,1,2,2,1,1,1,1,3,2,2,1,5,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,2,2,1,2,0.977530761849656
201801075675,2023-11-30T06:01:40Z,2023-11-30T08:11:56Z,2,1,2,2,2,1,1,2,,,,3,2,2,1,2,2,2,2,1,4,,,,,,,,,2,2,2,3,1,3,1,,,,,2,2,3,2,3,1,1,2,2,3,,1,1,1,2,2,2,4,2,6,3,3,,2,1,1,2,1,2,3,2,2,,1,1,1,1,1,10,,3,6,4,2,2,4,3,9,4,1,2,3,3.39677649157581
201801075754,2023-11-28T19:06:52Z,2023-11-28T19:15:06Z,1,1,1,1,2,2,2,1,2,4,3,,,,4,4,4,4,4,4,3,8,,,,,,2,2,2,2,2,3,4,1,3,1,1,1,1,,,,,3,1,1,2,2,,1,3,4,3,4,5,1,5,2,5,3,3,2,2,1,1,3,4,1,2,3,2,,1,1,1,1,1,12,,3,6,1,,1,1,3,1,2,1,2,1,0.9346539955142424
201801076049,2023-11-28T17:04:22Z,2023-11-28T17:15:08Z,2,1,2,2,1,2,1,2,,,,2,2,2,2,2,2,2,3,2,3,,,,,,,,,2,1,1,2,2,3,1,,,,,2,3,2,3,2,1,1,2,2,1,,2,3,3,3,2,1,2,3,1,2,3,,2,1,1,3,3,2,1,6,2,,1,1,1,1,1,12,,3,6,2,,2,3,1,9,3,2,1,3,1.227289081961523
201801076051,2023-11-28T20:59:18Z,2023-11-28T21:14:05Z,2,1,2,2,1,1,1,1,,,,3,2,2,1,1,2,2,2,2,4,,,,,,,,,2,2,2,3,1,2,1,,,,,2,3,2,2,3,1,1,1,2,1,,3,3,4,2,2,1,3,3,2,2,2,,2,1,1,3,3,1,2,4,2,,1,1,1,1,1,12,,3,5,4,2,2,3,1,6,3,2,2,2,1.1540402244509635
201801076119,2023-11-29T04:32:10Z,2023-11-29T04:38:29Z,2,1,1,1,1,2,2,1,2,4,3,,,,4,4,4,4,4,2,2,8,1,1,3,1,2,2,2,1,2,2,2,2,1,2,1,1,1,3,,,,,1,3,1,3,1,,2,1,1,3,1,5,2,3,2,5,1,3,1,2,1,1,3,3,1,2,3,2,,4,1,1,4,1,2,2,2,1,1,,1,1,1,9,1,2,1,2,1.6142948453705284
201801076155,2023-11-30T12:37:02Z,2023-11-30T22:08:43Z,2,1,1,1,1,2,2,1,2,3,3,,,,4,3,4,4,4,5,2,99,4,5,5,5,5,1,2,1,2,2,4,3,1,2,3,3,1,3,,,,,5,5,5,5,5,,4,3,4,4,4,4,1,3,2,4,2,3,4,1,1,1,2,2,2,1,5,2,,1,1,1,1,1,12,,3,6,1,,1,2,1,9,3,1,1,2,0.8467478328941821
201801076285,2023-11-28T16:04:07Z,2023-11-28T16:07:01Z,2,1,1,2,1,1,1,1,4,1,3,,,,1,2,2,1,3,4,1,,,,,,,,,99,2,1,1,2,1,1,99,2,2,2,,,,,3,1,2,1,1,,1,5,5,3,5,5,1,5,1,3,3,5,,1,1,1,1,3,1,3,2,2,,1,1,1,1,2,2,2,2,4,2,,2,3,1,2,1,3,2,2,1.2012775206622581
201801076381,2023-11-30T12:21:43Z,2023-11-30T12:28:44Z,2,1,1,2,2,1,1,1,2,1,1,,,,3,3,2,2,2,2,2,,,,,,,,,1,1,1,4,2,3,1,3,1,3,3,,,,,4,2,1,2,2,,3,2,3,3,3,3,1,2,1,2,1,3,,1,1,1,2,2,2,1,6,2,,2,3,5,4,1,8,,4,4,2,,2,4,3,6,4,1,1,2,0.28846157368833036
201801076424,2023-11-30T12:29:28Z,2023-11-30T12:35:37Z,2,1,1,1,1,2,2,2,3,3,3,,,,3,2,3,2,3,2,3,4,3,2,3,3,2,1,2,1,99,2,4,2,2,2,1,3,1,3,,,,,3,5,1,5,5,,3,3,4,4,3,3,2,3,2,3,2,3,2,1,1,1,2,3,1,3,2,2,,1,1,1,1,2,12,,3,5,3,1,1,2,1,4,3,2,2,2,2.002885448546631
201801076454,2023-11-28T16:37:52Z,2023-11-28T16:41:24Z,2,1,2,2,1,2,2,1,,,,4,3,3,4,4,4,4,4,4,3,,,,,,,,,2,2,2,5,4,4,4,,,,,3,3,3,3,5,5,5,5,5,4,,1,1,1,1,2,2,3,1,3,3,3,,1,1,1,1,2,2,1,5,2,,1,1,1,1,2,2,2,2,4,3,2,2,3,1,4,3,1,2,2,1.144210217620746
201801076563,2023-11-29T11:20:45Z,2023-11-29T11:27:10Z,1,1,2,2,1,1,1,1,,,,2,2,2,1,1,1,1,1,1,4,,,,,,,,,2,1,1,2,1,3,1,,,,,2,2,2,2,2,2,1,3,1,4,,2,2,2,2,2,1,3,2,6,1,3,,1,1,1,3,4,2,3,2,2,,1,1,1,1,1,2,2,2,5,2,,2,3,1,4,3,3,2,2,1.0622928877945288
201801076714,2023-11-28T15:28:52Z,2023-11-28T15:34:50Z,2,1,1,2,1,2,1,1,4,2,3,,,,1,1,1,1,1,1,3,,,,,,,,,2,2,1,2,1,3,1,2,2,2,2,,,,,1,2,1,3,3,,3,4,3,4,1,1,1,3,2,3,3,3,,2,3,5,3,3,2,2,4,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,4,4,2,2,2,0.8593914300075224
201801077111,2023-11-29T07:38:33Z,2023-11-29T07:51:39Z,1,1,2,1,1,2,2,1,,,,3,3,4,4,4,4,3,4,2,2,8,1,2,1,1,1,1,1,1,1,2,1,1,3,2,,,,,3,3,1,3,1,2,1,2,2,2,,1,2,1,1,4,2,3,2,3,2,2,2,1,1,2,1,4,2,1,6,2,,1,1,1,1,3,7,,4,5,3,1,1,2,1,6,3,2,1,2,0.9520322917307841
201801077133,2023-11-28T18:16:50Z,2023-11-28T18:20:49Z,2,1,1,1,1,2,2,1,4,4,4,,,,4,4,4,4,4,4,4,98,2,5,4,5,5,1,3,2,2,1,4,4,1,1,3,3,3,3,,,,,3,1,1,1,1,,1,3,1,4,3,1,2,4,1,1,3,4,3,1,1,1,2,1,1,1,5,1,4,1,1,3,1,6,6,,4,5,4,1,1,2,1,9,3,2,2,2,3.117835750225178
201801077164,2023-11-28T16:37:08Z,2023-11-28T16:45:28Z,2,1,1,2,1,2,2,1,4,2,4,,,,4,4,4,4,4,3,4,,,,,,,,,2,2,2,5,4,1,1,3,2,3,3,,,,,3,1,1,1,1,,4,4,1,1,4,5,1,5,2,5,2,3,,1,1,1,1,3,2,3,2,2,,1,1,1,1,1,1,1,1,6,2,,2,3,1,2,3,1,2,1,0.9944417845963391
201801077181,2023-11-28T15:48:51Z,2023-11-28T15:57:44Z,1,1,2,1,1,1,1,2,,,,3,3,3,3,3,3,3,3,2,3,97,1,4,4,4,4,2,3,1,2,2,5,2,1,3,,,,,3,3,3,3,5,3,3,3,3,1,,5,5,5,5,5,1,5,2,2,3,1,2,1,1,1,2,3,2,1,5,2,,1,2,2,1,1,1,2,1,5,1,,1,2,1,1,3,1,2,1,1.154559435519224
201801077234,2023-11-30T23:52:29Z,2023-11-30T23:57:59Z,2,1,1,2,1,2,1,1,4,2,4,,,,2,1,2,4,3,3,4,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,,,,,3,2,1,3,3,,4,4,4,4,3,4,2,3,1,5,3,4,,1,1,2,2,2,1,1,5,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,9,4,1,2,3,1.418042557502978
201801077422,2023-11-29T16:41:03Z,2023-11-29T16:56:27Z,2,1,2,1,1,2,2,1,,,,3,3,2,4,4,4,4,4,3,2,8,1,1,3,2,2,2,3,2,2,2,3,4,2,2,,,,,1,3,1,1,2,3,1,3,1,3,,4,3,4,2,5,2,4,2,1,2,3,2,1,1,1,2,3,1,1,6,2,,1,1,1,1,2,2,2,2,4,1,,1,1,1,9,2,2,2,3,1.2407910350297968
201801077685,2023-11-28T15:30:10Z,2023-11-28T15:35:45Z,1,1,1,1,1,2,2,1,2,3,2,,,,4,4,4,4,4,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,3,2,1,3,1,3,,,,,2,1,1,2,2,,2,1,2,2,2,2,2,4,2,2,2,3,2,1,1,2,2,2,1,1,6,2,,1,3,5,1,1,1,2,1,3,1,,1,1,1,9,2,1,1,2,0.11655104925850647
201801077832,2023-11-29T13:45:16Z,2023-11-29T13:49:10Z,1,1,2,2,1,1,1,1,,,,3,2,2,1,1,4,2,2,2,4,,,,,,,,,2,2,1,2,1,3,1,,,,,2,2,2,2,2,1,1,2,2,1,,1,2,1,3,3,1,3,1,1,3,2,,1,1,2,2,3,1,1,6,2,,1,1,1,1,6,2,2,2,3,3,2,2,3,1,9,3,2,1,3,1.068022164671454
201801077868,2023-12-02T22:33:41Z,2023-12-02T22:42:14Z,1,1,1,2,1,2,1,1,4,2,3,,,,1,1,2,2,2,5,4,,,,,,,,,2,2,2,4,1,3,1,2,2,2,3,,,,,4,1,1,2,3,,3,3,2,3,4,4,2,2,1,3,2,3,,1,1,2,2,4,2,1,5,2,,1,1,1,1,5,12,,3,5,2,,2,4,1,3,4,2,2,2,0.9133590634391888
201801077953,2023-11-29T17:50:25Z,2023-11-29T17:59:53Z,1,1,2,9,1,2,2,2,,,,4,3,2,4,3,4,3,4,2,3,4,4,4,1,4,1,1,3,2,2,2,3,2,3,1,,,,,3,3,3,3,2,2,1,2,1,3,,2,2,3,3,3,1,3,3,2,1,2,5,1,1,2,2,4,2,1,6,99,,1,99,99,1,1,1,2,1,5,3,99,9,9,1,99,3,2,1,99,1.119706240565231
201801078244,2023-12-02T11:34:20Z,2023-12-02T11:37:56Z,1,1,1,1,2,2,2,2,3,3,3,,,,3,3,4,2,3,2,3,99,,,,,,1,2,1,1,2,4,2,3,2,3,3,3,3,,,,,4,2,1,3,2,,3,3,3,3,3,3,1,1,1,2,1,4,4,1,1,2,1,2,2,1,5,2,,1,1,1,1,1,12,,3,6,3,1,1,1,2,9,2,1,1,3,0.8348545989604419
201801078385,2023-11-28T17:43:20Z,2023-11-28T17:57:13Z,1,1,2,1,1,2,2,1,,,,4,4,3,4,4,4,4,4,4,3,8,1,4,4,2,4,2,1,2,2,2,1,4,1,2,,,,,3,3,3,3,1,1,1,2,2,3,,2,2,3,2,3,2,3,1,3,3,3,1,1,1,2,2,4,2,2,4,2,,1,1,1,1,1,2,2,2,3,3,1,1,1,1,99,2,2,1,99,1.0844685475301619
201801078390,2023-11-28T18:30:42Z,2023-11-28T18:37:32Z,1,1,2,1,1,2,2,1,,,,4,3,2,4,4,4,4,4,3,2,3,1,2,3,5,1,2,2,1,1,1,3,4,2,1,,,,,3,3,2,3,4,2,1,2,2,3,,3,2,2,3,3,2,5,2,3,3,3,2,1,1,2,2,4,1,3,2,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,2,2,1,3,0.9417173834893644
201801078652,2023-11-29T08:43:15Z,2023-11-29T08:47:49Z,2,1,1,1,1,2,2,1,2,4,3,,,,4,3,4,3,4,2,2,3,2,1,2,3,1,2,2,1,2,2,4,3,1,2,1,3,1,3,,,,,4,1,2,2,2,,3,4,4,3,4,5,1,3,2,3,3,3,3,1,1,2,2,2,1,1,5,2,,1,1,1,1,3,2,2,2,5,1,,1,1,1,9,2,2,2,3,1.0709074964208143
201801078690,2023-11-30T14:27:27Z,2023-11-30T14:32:55Z,1,1,1,1,1,2,2,1,1,4,2,,,,4,4,4,4,4,2,2,8,1,2,4,3,2,2,2,2,2,2,3,3,1,4,1,1,1,1,,,,,2,3,1,3,2,,3,3,3,3,1,2,2,4,2,3,2,3,1,1,1,1,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,8,2,2,2,2,0.9227351844935873
201801078773,2023-11-29T13:43:44Z,2023-11-29T13:49:06Z,2,1,2,1,1,1,2,1,,,,2,3,3,3,3,3,3,3,3,2,98,4,2,4,4,1,2,1,2,1,1,1,1,2,2,,,,,1,1,1,1,2,1,1,1,99,1,,1,1,1,1,1,2,4,3,3,2,3,3,1,1,2,3,3,2,2,3,1,6,4,1,3,4,1,1,1,1,4,1,,1,1,1,1,1,1,2,1,0.3569046540308268
